node_id,cluster_id,battery_level,signal_strength,temperature,humidity,data_redundancy_flag,is_fault_predicted,actual_fault_occurred,fault_type,data_packet_size,latency_ms,energy_consumed_mJ,optimized_path_flag,load_on_node,recovery_time_ms,pdr,transmission_success
39,4,95.56,-48.76,33.95,30.92,0,0,1,link_loss,213,35.8,1.472,1,0.1,496.5,0.923,0
44,1,36.21,-57.17,15.58,40.45,0,0,0,none,114,127.09,1.968,0,0.87,0.0,0.936,1
18,4,94.8,-60.57,25.42,21.12,0,0,0,none,491,158.65,0.165,1,0.33,0.0,0.933,1
6,2,61.09,-97.81,43.69,51.48,0,1,0,none,334,44.78,0.472,0,0.39,0.0,0.878,0
24,2,96.87,-57.51,21.04,40.74,0,0,0,none,192,75.64,0.11,1,0.74,0.0,0.946,1
5,2,42.26,-91.89,44.52,63.63,0,0,0,none,279,206.46,1.223,0,0.61,0.0,0.877,1
3,1,74.96,-83.48,20.24,22.83,1,0,0,none,242,28.8,1.309,0,0.56,0.0,0.982,1
45,3,28.28,-34.0,33.95,68.63,1,0,0,none,197,147.83,0.515,0,0.89,0.0,0.865,0
25,1,34.49,-54.66,10.02,44.68,0,0,0,none,381,82.19,0.328,0,0.95,0.0,0.865,1
41,4,42.73,-31.98,48.5,37.62,0,0,0,none,144,94.7,1.956,0,0.13,0.0,0.869,1
2,5,54.05,-31.0,19.68,67.05,1,0,0,none,343,151.68,1.969,0,0.83,0.0,0.96,0
6,5,87.25,-77.18,18.81,69.78,1,0,0,none,480,131.32,1.084,1,0.71,0.0,0.947,1
31,2,33.21,-53.8,42.69,58.86,0,0,0,none,203,176.32,1.777,0,0.35,0.0,0.94,1
20,1,67.78,-94.11,16.47,82.9,0,0,0,none,162,292.63,0.639,0,0.54,0.0,0.89,1
36,1,11.63,-65.43,17.15,45.65,1,0,0,none,239,46.23,0.799,0,0.32,0.0,0.995,0
8,3,49.1,-75.49,35.8,66.82,1,0,0,none,67,26.81,1.326,0,0.95,0.0,0.991,1
35,4,11.39,-35.02,27.13,87.67,1,1,0,none,479,258.32,0.702,0,0.6,0.0,0.987,0
40,2,65.35,-30.7,15.6,56.28,1,0,0,none,362,218.5,1.15,0,0.48,0.0,0.851,1
7,1,66.51,-86.4,12.84,47.77,0,1,0,none,417,46.31,1.199,0,0.52,0.0,0.909,0
22,1,13.36,-42.42,24.41,28.89,0,0,0,none,68,148.03,1.7,0,0.47,0.0,0.94,0
16,5,97.26,-49.98,11.64,47.92,0,0,0,none,180,42.64,0.914,1,0.15,0.0,0.983,1
32,1,69.42,-80.4,48.19,71.65,0,0,0,none,139,178.49,0.401,0,0.41,0.0,0.818,0
30,4,25.78,-98.8,40.53,76.48,0,0,0,none,313,192.44,1.307,0,0.44,0.0,0.925,0
1,5,71.56,-56.89,47.76,86.1,1,0,0,none,459,128.69,1.322,0,0.59,0.0,0.988,1
33,2,28.6,-80.82,18.58,46.41,0,0,0,none,153,109.31,1.705,0,0.83,0.0,0.856,0
50,5,94.3,-97.26,26.72,87.73,0,0,0,none,290,297.34,0.884,0,0.8,0.0,0.868,1
37,4,48.61,-47.44,40.18,27.22,1,0,0,none,405,103.34,0.29,0,0.96,0.0,0.969,1
28,4,61.61,-55.77,27.94,40.52,0,0,0,none,214,238.76,0.316,1,0.98,0.0,0.999,0
35,5,41.58,-91.81,15.72,73.31,0,0,0,none,204,82.32,0.854,1,0.23,0.0,0.903,0
8,5,43.36,-43.1,47.89,89.02,1,0,0,none,508,125.84,1.44,0,0.4,0.0,0.887,1
50,4,61.43,-48.13,40.69,77.6,1,0,0,none,254,153.76,0.257,1,0.49,0.0,0.96,1
45,5,39.04,-96.96,46.99,84.34,0,0,0,none,110,196.23,1.422,0,0.66,0.0,0.917,1
11,4,96.28,-95.95,25.78,27.47,0,0,0,none,199,118.94,1.209,0,0.98,0.0,0.997,0
17,1,37.86,-43.03,37.39,31.38,1,1,1,battery_low,366,277.37,0.257,1,0.6,124.18,0.882,0
18,1,43.91,-47.53,25.72,78.04,0,0,0,none,448,23.83,0.243,1,0.58,0.0,0.95,1
23,5,75.35,-47.0,25.11,36.88,0,0,0,none,323,84.02,1.376,1,0.42,0.0,0.823,1
34,3,56.81,-40.35,32.08,59.27,1,0,0,none,366,137.75,1.591,1,0.82,0.0,0.981,1
34,2,63.09,-72.54,27.5,83.29,0,0,0,none,93,194.18,1.738,1,0.23,0.0,0.985,1
20,5,98.2,-65.52,23.15,64.34,0,0,0,none,246,183.73,0.861,1,0.26,0.0,0.939,1
32,3,56.37,-31.88,34.08,35.67,1,0,0,none,85,44.84,0.329,0,0.29,0.0,0.873,1
45,3,13.54,-44.04,35.12,25.72,1,1,0,none,89,263.12,0.261,1,0.99,0.0,0.907,1
14,2,78.4,-62.81,38.82,24.36,0,0,0,none,470,163.27,1.111,0,0.5,0.0,0.907,1
25,5,26.41,-60.52,43.63,26.24,0,0,0,none,88,210.15,1.599,0,0.18,0.0,0.907,1
8,1,60.8,-73.49,23.5,82.98,0,0,0,none,292,281.43,0.114,0,0.43,0.0,0.898,1
30,1,17.22,-63.28,26.42,88.77,0,0,1,link_loss,197,293.02,1.032,1,0.84,373.31,0.907,0
45,4,28.46,-32.24,38.44,33.97,1,0,0,none,205,100.82,1.204,0,0.53,0.0,0.907,0
50,2,59.37,-61.58,18.07,67.92,0,0,0,none,328,186.78,0.996,0,0.41,0.0,0.986,1
44,2,21.19,-48.84,47.53,32.69,0,0,0,none,383,238.82,1.673,1,0.82,0.0,0.965,0
19,3,67.04,-36.45,22.65,61.18,0,0,0,none,351,149.55,0.673,1,0.55,0.0,0.846,1
2,5,91.58,-56.3,14.68,85.79,0,0,0,none,78,266.02,1.041,1,0.62,0.0,1.0,1
37,3,76.96,-97.65,32.8,73.37,1,0,0,none,222,126.07,0.968,1,0.55,0.0,0.908,0
4,4,79.47,-99.15,33.94,59.59,1,0,0,none,317,274.37,1.208,0,0.52,0.0,0.989,0
13,2,65.03,-98.73,44.88,85.25,0,0,1,link_loss,169,235.95,0.811,0,0.17,96.91,0.968,1
1,5,98.64,-41.28,14.99,84.46,1,0,0,none,212,126.21,1.514,0,0.81,0.0,0.921,0
25,2,92.79,-75.76,23.88,71.63,0,0,0,none,242,89.5,1.198,0,0.13,0.0,0.862,1
43,2,11.18,-53.55,17.12,87.27,0,0,0,none,252,71.65,0.669,0,0.46,0.0,0.885,0
32,5,66.25,-73.56,43.46,61.12,0,0,0,none,176,132.21,1.163,0,0.26,0.0,0.972,1
32,2,34.37,-54.92,26.35,21.78,0,0,0,none,384,174.48,0.582,0,0.55,0.0,0.919,1
37,3,89.87,-61.03,38.83,76.37,1,0,0,none,463,131.21,1.369,0,0.36,0.0,0.979,0
7,1,28.71,-98.14,17.26,60.81,0,1,0,none,467,114.04,1.668,0,0.13,0.0,0.966,0
30,1,49.25,-79.39,47.94,73.45,0,1,0,none,278,243.96,0.908,0,0.34,0.0,0.908,1
39,1,22.54,-41.55,49.38,56.8,0,0,0,none,209,168.31,1.649,0,0.16,0.0,0.881,1
12,5,10.99,-90.42,46.0,81.17,0,0,0,none,457,276.04,0.896,0,0.57,0.0,0.809,0
43,1,17.45,-57.78,19.81,47.25,0,0,0,none,358,190.91,1.904,0,0.96,0.0,0.827,0
36,4,24.58,-41.09,43.86,86.87,0,0,0,none,136,41.04,1.484,0,0.72,0.0,0.887,1
3,2,81.95,-51.37,20.89,61.32,0,0,1,battery_low,80,286.07,0.947,0,0.59,442.83,0.946,1
23,5,72.3,-40.56,19.99,54.26,0,1,1,link_loss,351,217.56,1.858,0,0.61,461.97,0.807,0
9,3,93.2,-32.03,47.77,53.19,1,1,0,none,166,30.36,1.233,0,0.21,0.0,0.815,1
40,2,75.23,-95.43,22.61,57.76,1,0,0,none,79,139.51,1.766,0,0.52,0.0,0.998,0
13,5,44.56,-34.72,12.8,20.66,0,0,0,none,299,195.7,1.76,1,0.79,0.0,0.884,1
5,1,31.49,-92.27,24.18,40.11,0,0,0,none,256,274.89,0.186,0,0.45,0.0,0.825,1
37,5,33.31,-58.8,49.29,81.89,0,1,1,link_loss,115,38.2,0.863,1,0.31,423.79,0.824,0
26,1,26.78,-45.43,24.01,24.05,1,1,1,sensor_fail,304,68.69,0.853,1,0.73,119.25,0.963,0
47,1,63.36,-59.39,13.66,81.42,0,0,1,battery_low,289,261.4,1.638,1,0.6,89.14,0.882,0
8,3,75.11,-65.29,13.24,35.41,0,0,1,battery_low,287,164.5,1.822,1,0.7,294.7,0.973,0
24,3,88.13,-82.83,16.29,31.23,0,0,1,link_loss,218,230.76,0.401,1,0.88,63.16,0.965,0
43,5,76.92,-88.75,42.72,78.25,0,0,0,none,109,111.4,1.164,0,0.44,0.0,0.802,1
