WSN Simulation Log
Start Time: 2026-02-28 11:25:27.212505
==================================================

--- Simulation Round 1 ---
Node 0 | Value: 93.4298732369006 | Energy: 98.00 | Position: (41.63, 68.06)
Node 1 | Value: 27.688087750785467 | Energy: 98.00 | Position: (33.10, 43.07)
Node 2 | Value: 32.441126436673635 | Energy: 98.00 | Position: (6.24, 91.54)
Node 3 | Value: 29.379303613544486 | Energy: 99.00 | Position: (78.77, 48.84)
Node 4 | Value: 30.34841305827621 | Energy: 99.00 | Position: (78.67, 52.49)
Node 5 | Value: 27.089005082576634 | Energy: 99.00 | Position: (43.98, 38.10)
Node 6 | Value: 28.7823229925962 | Energy: 99.00 | Position: (27.31, 46.13)
Node 7 | Value: 30.297357657356592 | Energy: 99.00 | Position: (30.41, 19.99)
Node 8 | Value: 32.46662664360105 | Energy: 97.00 | Position: (84.38, 34.59)
Node 9 | Value: 29.3985104168309 | Energy: 98.00 | Position: (47.35, 91.22)
Node 10 | Value: 27.188804938749378 | Energy: 98.00 | Position: (88.38, 93.29)
Node 11 | Value: 32.346038813911896 | Energy: 98.00 | Position: (51.73, 4.60)
Node 12 | Value: 32.847476280700896 | Energy: 99.00 | Position: (26.86, 25.35)
Node 13 | Value: 29.952979345380776 | Energy: 97.00 | Position: (5.60, 16.30)
Node 14 | Value: 28.49912865432546 | Energy: 97.00 | Position: (54.78, 79.04)
Node 15 | Value: 29.75112262387144 | Energy: 97.00 | Position: (26.85, 87.23)
Node 16 | Value: 29.724810622811344 | Energy: 98.00 | Position: (81.81, 54.25)
Node 17 | Value: 32.17332750190648 | Energy: 99.00 | Position: (71.56, 1.26)
Node 18 | Value: 31.933565699191462 | Energy: 97.00 | Position: (31.23, 81.94)
Node 19 | Value: 71.67029399709594 | Energy: 99.00 | Position: (93.67, 73.35)

--- Simulation Round 2 ---
Node 0 | Value: 93.27694092253205 | Energy: 96.00 | Position: (41.63, 68.06)
Node 1 | Value: 84.70206542816317 | Energy: 95.00 | Position: (33.10, 43.07)
Node 2 | Value: 28.87381952628674 | Energy: 96.00 | Position: (6.24, 91.54)
Node 3 | Value: 29.150148687532653 | Energy: 96.00 | Position: (78.77, 48.84)
Node 4 | Value: 27.7979275353183 | Energy: 96.00 | Position: (78.67, 52.49)
Node 5 | Value: 27.325416484967807 | Energy: 98.00 | Position: (43.98, 38.10)
Node 6 | Value: 27.776414649665636 | Energy: 97.00 | Position: (27.31, 46.13)
Node 7 | Value: 27.695045928193235 | Energy: 98.00 | Position: (30.41, 19.99)
Node 8 | Value: 29.603517156515117 | Energy: 95.00 | Position: (84.38, 34.59)
Node 9 | Value: 31.722796659526956 | Energy: 97.00 | Position: (47.35, 91.22)
Node 10 | Value: 31.964527861327895 | Energy: 96.00 | Position: (88.38, 93.29)
Node 11 | Value: 27.736705321377993 | Energy: 95.00 | Position: (51.73, 4.60)
Node 12 | Value: 32.35481393647838 | Energy: 97.00 | Position: (26.86, 25.35)
Node 13 | Value: 29.013634704244936 | Energy: 94.00 | Position: (5.60, 16.30)
Node 14 | Value: 32.93891211010423 | Energy: 94.00 | Position: (54.78, 79.04)
Node 15 | Value: 28.600779024160342 | Energy: 96.00 | Position: (26.85, 87.23)
Node 16 | Value: 29.184523121521337 | Energy: 95.00 | Position: (81.81, 54.25)
Node 17 | Value: 31.127709946420847 | Energy: 96.00 | Position: (71.56, 1.26)
Node 18 | Value: 32.099099380821315 | Energy: 96.00 | Position: (31.23, 81.94)
Node 19 | Value: 81.71644224461626 | Energy: 96.00 | Position: (93.67, 73.35)

--- Simulation Round 3 ---
Node 0 | Value: 87.60912321986694 | Energy: 95.00 | Position: (41.63, 68.06)
Node 1 | Value: 29.391625325196337 | Energy: 93.00 | Position: (33.10, 43.07)
Node 2 | Value: 30.147554771501415 | Energy: 93.00 | Position: (6.24, 91.54)
Node 3 | Value: 29.84490678771754 | Energy: 94.00 | Position: (78.77, 48.84)
Node 4 | Value: 31.10004748486103 | Energy: 95.00 | Position: (78.67, 52.49)
Node 5 | Value: 31.78271134558426 | Energy: 95.00 | Position: (43.98, 38.10)
Node 6 | Value: 27.1485498480395 | Energy: 96.00 | Position: (27.31, 46.13)
Node 7 | Value: 29.219123312686648 | Energy: 97.00 | Position: (30.41, 19.99)
Node 8 | Value: 31.2681483451006 | Energy: 94.00 | Position: (84.38, 34.59)
Node 9 | Value: 31.818276637570577 | Energy: 94.00 | Position: (47.35, 91.22)
Node 10 | Value: 30.050448710730524 | Energy: 95.00 | Position: (88.38, 93.29)
Node 11 | Value: 98.10742746412599 | Energy: 92.00 | Position: (51.73, 4.60)
Node 12 | Value: 32.26885168781904 | Energy: 94.00 | Position: (26.86, 25.35)
Node 13 | Value: 31.07185289714339 | Energy: 91.00 | Position: (5.60, 16.30)
Node 14 | Value: 27.06695700707937 | Energy: 91.00 | Position: (54.78, 79.04)
Node 15 | Value: 30.724946569227335 | Energy: 94.00 | Position: (26.85, 87.23)
Node 16 | Value: 27.825210132442614 | Energy: 93.00 | Position: (81.81, 54.25)
Node 17 | Value: 30.67359562563569 | Energy: 94.00 | Position: (71.56, 1.26)
Node 18 | Value: 28.100679248121455 | Energy: 94.00 | Position: (31.23, 81.94)
Node 19 | Value: 85.8551282852705 | Energy: 93.00 | Position: (93.67, 73.35)

--- Simulation Round 4 ---
Node 0 | Value: 31.64766078994267 | Energy: 92.00 | Position: (41.63, 68.06)
Node 1 | Value: 29.320928344239434 | Energy: 90.00 | Position: (33.10, 43.07)
Node 2 | Value: 30.0319205626668 | Energy: 91.00 | Position: (6.24, 91.54)
Node 3 | Value: 29.460067497801376 | Energy: 91.00 | Position: (78.77, 48.84)
Node 4 | Value: 32.388927628370546 | Energy: 92.00 | Position: (78.67, 52.49)
Node 5 | Value: 32.338548653998345 | Energy: 93.00 | Position: (43.98, 38.10)
Node 6 | Value: 29.761694921991683 | Energy: 94.00 | Position: (27.31, 46.13)
Node 7 | Value: 31.786254914535796 | Energy: 96.00 | Position: (30.41, 19.99)
Node 8 | Value: 29.324027705901475 | Energy: 93.00 | Position: (84.38, 34.59)
Node 9 | Value: 29.846541471075792 | Energy: 93.00 | Position: (47.35, 91.22)
Node 10 | Value: 31.797533063728785 | Energy: 94.00 | Position: (88.38, 93.29)
Node 11 | Value: 81.64337282138104 | Energy: 91.00 | Position: (51.73, 4.60)
Node 12 | Value: 27.62274458256735 | Energy: 93.00 | Position: (26.86, 25.35)
Node 13 | Value: 27.581271185489776 | Energy: 90.00 | Position: (5.60, 16.30)
Node 14 | Value: 28.435579688686506 | Energy: 90.00 | Position: (54.78, 79.04)
Node 15 | Value: 32.90804708414845 | Energy: 93.00 | Position: (26.85, 87.23)
Node 16 | Value: 27.160380441604584 | Energy: 90.00 | Position: (81.81, 54.25)
Node 17 | Value: 27.402036660040167 | Energy: 93.00 | Position: (71.56, 1.26)
Node 18 | Value: 29.59871366847323 | Energy: 93.00 | Position: (31.23, 81.94)
Node 19 | Value: 70.36071454120952 | Energy: 92.00 | Position: (93.67, 73.35)

--- Simulation Round 5 ---
Node 0 | Value: 92.17805917576054 | Energy: 89.00 | Position: (41.63, 68.06)
Node 1 | Value: 99.90722803768433 | Energy: 88.00 | Position: (33.10, 43.07)
Node 2 | Value: 29.367234623935964 | Energy: 88.00 | Position: (6.24, 91.54)
Node 3 | Value: 29.291437280819714 | Energy: 90.00 | Position: (78.77, 48.84)
Node 4 | Value: 30.32638467770402 | Energy: 89.00 | Position: (78.67, 52.49)
Node 5 | Value: 32.40770929724724 | Energy: 91.00 | Position: (43.98, 38.10)
Node 6 | Value: 32.98741948605435 | Energy: 91.00 | Position: (27.31, 46.13)
Node 7 | Value: 27.10950748671793 | Energy: 95.00 | Position: (30.41, 19.99)
Node 8 | Value: 31.350362227335168 | Energy: 92.00 | Position: (84.38, 34.59)
Node 9 | Value: 31.75450544412348 | Energy: 90.00 | Position: (47.35, 91.22)
Node 10 | Value: 31.870628046635193 | Energy: 91.00 | Position: (88.38, 93.29)
Node 11 | Value: 99.45738944892992 | Energy: 88.00 | Position: (51.73, 4.60)
Node 12 | Value: 31.352339465638693 | Energy: 91.00 | Position: (26.86, 25.35)
Node 13 | Value: 28.08642114586515 | Energy: 89.00 | Position: (5.60, 16.30)
Node 14 | Value: 27.522564910906457 | Energy: 88.00 | Position: (54.78, 79.04)
Node 15 | Value: 30.171420420681635 | Energy: 92.00 | Position: (26.85, 87.23)
Node 16 | Value: 32.80287384128506 | Energy: 88.00 | Position: (81.81, 54.25)
Node 17 | Value: 30.71274675388618 | Energy: 90.00 | Position: (71.56, 1.26)
Node 18 | Value: 32.71093018072148 | Energy: 91.00 | Position: (31.23, 81.94)
Node 19 | Value: 77.57686243879543 | Energy: 89.00 | Position: (93.67, 73.35)

==================================================
Simulation Summary
Actual Faulty Nodes: [0, 11, 19, 1]
End Time: 2026-02-28 11:25:27.215854
==================================================
